City,Country,Date,Temp,Humidity,Cloudiness,Wind Speed,Latitude,Longitude
victor harbor,AU,1586627344,54.0,71,75,6.24,-35.57,138.62
carnarvon,AU,1586627303,77.0,100,40,14.99,-24.87,113.63
athmallik,IN,1586627727,82.83,22,0,1.83,20.72,84.53
isangel,VU,1586627325,77.29,61,37,8.61,-19.55,169.27
normandin,CA,1586627728,39.0,55,75,17.22,48.83,-72.53
chokurdakh,RU,1586627298,27.16,97,100,14.36,70.63,147.92
atuona,PF,1586627298,82.27,72,97,7.99,-9.8,-139.03
yumen,CN,1586627285,46.94,21,82,7.0,40.28,97.2
yellowknife,CA,1586627117,12.2,56,20,13.87,62.46,-114.35
dunyapur,PK,1586627729,82.4,61,79,2.35,29.8,71.72
pontevedra,ES,1586627729,61.0,82,75,6.93,42.43,-8.64
saint-philippe,RE,1586627158,77.0,83,57,5.82,-21.36,55.77
cape town,ZA,1586627296,64.99,93,75,14.99,-33.93,18.42
necochea,AR,1586627322,77.0,53,6,13.0,-38.55,-58.74
yetkul,RU,1586627731,42.8,52,66,6.71,54.82,61.59
mahebourg,MU,1586627304,78.01,73,75,13.87,-20.41,57.7
hofn,IS,1586627319,41.32,83,81,20.27,64.25,-15.21
tekeli,KZ,1586627732,44.8,33,74,5.41,44.83,78.82
kuminskiy,RU,1586627732,35.24,84,0,5.91,58.67,66.57
gainesville,US,1586627672,82.0,36,1,9.17,29.65,-82.32
aguimes,ES,1586627733,71.6,56,20,27.51,27.91,-15.45
washington,US,1586627690,54.0,39,90,4.7,47.5,-120.5
east london,ZA,1586627313,74.05,74,100,12.88,-33.02,27.91
abu samrah,SY,1586627734,55.35,65,29,10.58,35.3,37.18
parscov,RO,1586627734,51.8,37,40,11.41,45.28,26.55
tuktoyaktuk,CA,1586627321,-5.8,76,75,4.7,69.45,-133.04
bethel,US,1586627309,53.01,27,40,23.04,41.37,-73.41
severo-kurilsk,RU,1586627299,26.91,94,57,10.94,50.68,156.12
mataura,NZ,1586627297,54.0,74,100,5.01,-46.19,168.86
rosetta,EG,1586627736,62.6,72,0,8.05,31.4,30.42
khatanga,RU,1586627302,0.52,92,64,10.36,71.97,102.5
ancud,CL,1586627303,55.4,50,15,6.93,-41.87,-73.82
denpasar,ID,1586627280,82.4,88,40,1.12,-8.65,115.22
daru,PG,1586627737,79.7,85,86,10.38,-9.08,143.21
bredasdorp,ZA,1586627301,71.01,82,100,3.36,-34.53,20.04
port alfred,ZA,1586627308,68.0,91,100,8.93,-33.59,26.89
port elizabeth,ZA,1586627304,62.6,72,100,3.36,-33.92,25.57
boisoara,RO,1586627738,59.0,30,90,5.82,45.43,24.38
zhigansk,RU,1586627213,28.96,98,100,12.15,66.77,123.37
encruzilhada do sul,BR,1586627335,68.05,51,57,2.89,-30.54,-52.52
talara,PE,1586627739,62.6,100,97,9.17,-4.58,-81.27
hermanus,ZA,1586627312,71.01,75,100,5.99,-34.42,19.23
tiksi,RU,1586627312,17.51,94,28,17.43,71.69,128.87
georgetown,MY,1586627297,84.2,88,20,4.7,5.41,100.34
meadow lake,US,1586627741,66.99,13,1,8.05,34.8,-106.54
saint anthony,US,1586627630,57.0,27,1,6.93,45.02,-93.22
hasaki,JP,1586627309,48.2,87,75,6.93,35.73,140.83
margate,GB,1586627330,68.0,71,23,8.05,51.38,1.39
pacifica,US,1586627742,57.99,81,90,5.82,37.61,-122.49
hualmay,PE,1586627319,78.01,65,51,10.22,-11.1,-77.61
longyearbyen,SJ,1586627359,-0.4,64,20,2.24,78.22,15.64
nanortalik,GL,1586627313,39.31,69,95,27.51,60.14,-45.24
billings,US,1586627108,28.99,100,90,17.22,45.78,-108.5
san fernando,PH,1586627744,82.4,88,75,5.82,15.03,120.69
dingle,PH,1586627744,77.4,73,2,5.68,11.0,122.67
osypenko,UA,1586627744,50.0,100,50,11.01,46.91,36.83
nueva loja,EC,1586627745,80.6,83,90,3.36,0.08,-76.88
tamasane,BW,1586627745,78.8,50,28,1.12,-22.42,27.4
maine-soroa,NE,1586627746,87.64,12,100,9.01,13.21,12.02
andenes,NO,1586627340,33.01,81,100,18.34,69.31,16.12
siavonga,ZM,1586627746,75.33,55,99,0.47,-16.54,28.71
nouakchott,MR,1586627747,91.4,33,21,16.11,18.09,-15.98
kapuskasing,CA,1586627747,39.2,29,75,9.17,49.42,-82.43
cabo san lucas,MX,1586627312,78.01,48,40,18.34,22.89,-109.91
rio grande,BR,1586627290,75.2,53,40,9.17,-32.03,-52.1
arraial do cabo,BR,1586627303,75.2,83,75,10.29,-22.97,-42.03
morondava,MG,1586627212,80.08,81,77,7.29,-20.28,44.28
cayenne,GF,1586627348,86.0,62,75,13.87,4.93,-52.33
vangaindrano,MG,1586627749,71.51,92,17,1.63,-23.35,47.6
puerto escondido,MX,1586627683,78.8,74,5,10.29,15.85,-97.07
pacific grove,US,1586627750,57.2,82,90,4.7,36.62,-121.92
saint-denis,FR,1586627750,77.0,31,63,4.7,48.92,2.33
bengkulu,ID,1586627750,79.27,79,37,2.73,-3.8,102.27
salta,AR,1586627536,69.8,68,75,3.36,-24.79,-65.41
los llanos de aridane,ES,1586627298,69.8,68,75,12.75,28.66,-17.92
pisco,PE,1586627311,75.0,30,1,10.29,-13.7,-76.22
winkler,CA,1586627572,35.6,51,75,13.87,49.18,-97.94
tsimlyansk,RU,1586627752,42.4,62,42,9.53,47.65,42.1
klaksvik,FO,1586627752,44.6,100,100,5.82,62.23,-6.59
provideniya,RU,1586627316,27.14,97,99,3.29,64.38,-173.3
bukama,CD,1586627753,73.35,71,96,2.1,-9.2,25.85
sao filipe,CV,1586627301,77.7,69,10,11.54,14.9,-24.5
muroto,JP,1586627754,52.57,78,100,12.5,33.28,134.15
saskylakh,RU,1586627299,4.77,90,87,17.72,71.92,114.08
noumea,NC,1586627094,75.0,88,15,4.7,-22.28,166.46
college,US,1586627359,32.0,85,75,4.7,64.86,-147.8
haifa,IL,1586627755,60.01,86,21,5.93,32.82,34.99
asau,RO,1586627755,57.2,26,80,3.36,46.43,26.4
elizabeth city,US,1586627690,61.0,30,1,11.41,36.29,-76.25
esil,KZ,1586627756,43.29,72,94,11.79,51.96,66.4
llandrindod wells,GB,1586627756,71.01,44,4,1.99,52.24,-3.38
flinders,AU,1586627345,55.0,50,3,14.99,-34.58,150.86
anage,BR,1586627757,84.24,60,69,3.06,-14.61,-41.14
barra da estiva,BR,1586627757,76.75,60,78,3.69,-13.63,-41.33
sitka,US,1586627352,37.4,59,1,3.36,57.05,-135.33
hithadhoo,MV,1586627311,85.06,65,49,6.69,-0.6,73.08
aanekoski,FI,1586627758,34.0,89,74,1.12,62.69,25.82
aklavik,CA,1586627334,6.8,84,20,5.82,68.22,-135.01
khandyga,RU,1586627759,25.34,97,80,4.72,62.67,135.6
bambous virieux,MU,1586627334,78.01,73,75,13.87,-20.34,57.76
saldanha,ZA,1586627327,66.2,82,85,4.7,-33.01,17.94
port macquarie,AU,1586627760,60.8,38,0,11.41,-31.43,152.92
svetlyy,RU,1586627760,44.6,59,70,4.47,54.67,20.13
avarua,CK,1586627311,78.8,100,65,2.24,-21.21,-159.78
harper,LR,1586627761,83.3,74,87,4.88,4.38,-7.72
oktyabrskoye,RU,1586627761,48.2,81,98,2.24,43.06,44.74
ilulissat,GL,1586627616,37.4,59,75,6.93,69.22,-51.1
dargaville,NZ,1586627762,54.55,90,6,5.64,-35.93,173.88
berlevag,NO,1586627318,25.21,89,95,6.62,70.86,29.09
zlobin,HR,1586627763,68.0,34,20,3.36,45.29,14.65
xining,CN,1586627763,37.09,24,0,0.43,36.62,101.77
hay river,CA,1586627289,8.6,71,40,8.05,60.82,-115.8
chuy,UY,1586627310,70.47,55,24,6.38,-33.7,-53.46
nabire,ID,1586627764,77.0,89,87,2.1,-3.37,135.48
torbay,CA,1586627305,46.0,65,75,25.28,47.67,-52.73
bihariganj,IN,1586627765,82.74,19,6,4.52,25.73,86.98
lata,PT,1586627331,64.0,77,75,11.41,40.16,-8.33
djenne,ML,1586627766,99.16,17,81,6.98,13.91,-4.55
saint-joseph,RE,1586627324,77.0,83,48,5.82,-21.37,55.62
puerto ayacucho,VE,1586627766,89.6,49,40,9.17,5.66,-67.62
jaora,IN,1586627767,85.46,14,2,5.97,23.63,75.13
nyurba,RU,1586627767,29.28,97,88,7.9,63.28,118.33
gornozavodsk,RU,1586627768,34.48,78,100,6.26,58.38,58.32
sobolevo,RU,1586627769,35.22,74,38,8.03,54.43,31.9
benghazi,LY,1586627769,62.08,61,52,12.15,32.12,20.07
dukat,RU,1586627770,2.75,85,99,2.01,62.55,155.55
kumluca,TR,1586627770,62.35,52,0,5.61,36.37,30.29
sandwick,GB,1586627770,46.4,93,86,19.46,60.0,-1.25
darhan,MN,1586627771,48.47,33,6,6.58,49.49,105.92
chimbote,PE,1586627771,78.58,67,90,12.66,-9.09,-78.58
cherskiy,RU,1586627349,11.71,96,100,11.54,68.75,161.3
hun,LY,1586627771,69.87,23,14,16.17,29.13,15.95
krasnoselkup,RU,1586627772,35.22,96,100,21.68,65.7,82.47
ucluelet,CA,1586627772,57.0,81,5,4.7,48.93,-125.55
takoradi,GH,1586627773,82.33,82,100,6.64,4.88,-1.76
yeppoon,AU,1586627773,73.4,88,90,3.36,-23.13,150.73
salinopolis,BR,1586627609,82.51,82,72,11.7,-0.61,-47.36
maniitsoq,GL,1586627774,38.59,72,99,7.54,65.42,-52.9
vanimo,PG,1586627359,79.56,84,66,1.61,-2.67,141.3
kalanguy,RU,1586627774,41.0,36,0,2.06,51.02,116.52
san policarpo,PH,1586627348,77.45,80,44,2.66,12.18,125.51
cidreira,BR,1586627303,71.42,56,18,7.56,-30.18,-50.21
villanueva de cordoba,ES,1586627775,73.4,53,100,3.36,38.32,-4.63
mandera,KE,1586627776,89.01,9,61,1.99,3.94,41.87
hambantota,LK,1586627310,82.18,79,16,11.61,6.12,81.12
ojinaga,MX,1586627321,78.8,10,1,6.93,29.57,-104.42
lashio,MM,1586627777,66.49,39,86,0.98,22.93,97.75
nuuk,GL,1586627348,39.2,69,99,4.7,64.18,-51.72
poya,NC,1586627321,72.46,77,34,5.97,-21.35,165.15
broken hill,AU,1586627308,50.0,61,0,8.05,-31.95,141.43
salalah,OM,1586627142,84.2,70,75,9.17,17.02,54.09
walvis bay,NA,1586627632,84.2,45,0,14.99,-22.96,14.51
hurghada,EG,1586627779,73.4,33,0,4.7,27.26,33.81
alekseyevsk,RU,1586627779,29.93,93,93,2.68,57.84,108.35
pachino,IT,1586627779,62.01,63,60,5.82,36.72,15.09
khalkhal,IR,1586627780,39.6,43,88,5.39,37.62,48.53
puerto ayora,EC,1586627304,84.99,74,75,8.05,-0.74,-90.35
lorengau,PG,1586627296,81.72,75,55,2.77,-2.02,147.27
tessalit,ML,1586627781,95.4,8,0,6.2,20.2,1.01
shepsi,RU,1586627781,49.75,80,96,7.11,44.04,39.15
eskil,TR,1586627781,51.49,31,0,6.06,38.4,33.41
erzin,TR,1586627782,63.0,72,20,4.7,36.96,36.2
nizhniy kuranakh,RU,1586627782,33.49,78,66,3.4,58.84,125.49
west odessa,US,1586627782,75.99,68,40,13.87,31.84,-102.5
barra do garcas,BR,1586627783,89.6,62,75,2.24,-15.89,-52.26
rudbar,AF,1586627783,85.59,21,82,8.61,30.15,62.6
tazovskiy,RU,1586627341,35.82,99,100,17.49,67.47,78.7
dawlatabad,AF,1586627769,71.04,43,100,6.55,36.41,64.91
samoylovka,RU,1586627784,37.0,91,98,3.0,51.18,43.71
jacareacanga,BR,1586627784,82.98,71,100,5.64,-6.22,-57.75
san jeronimo,PE,1586627333,63.32,18,65,6.62,-11.95,-75.28
ahipara,NZ,1586627309,62.2,80,43,11.18,-35.17,173.17
adrar,MR,1586627785,96.03,9,0,6.55,20.5,-10.07
calabozo,VE,1586627566,100.45,24,100,7.49,8.92,-67.43
ola,RU,1586627359,15.03,91,100,8.72,59.58,151.28
ambanja,MG,1586627689,79.18,81,14,2.91,-13.68,48.45
orcopampa,PE,1586627786,57.97,10,1,9.08,-15.27,-72.34
pevek,RU,1586627323,5.49,93,98,14.0,69.7,170.31
halifax,CA,1586627493,48.0,60,75,16.11,44.65,-63.57
yerofey pavlovich,RU,1586627787,32.25,75,0,2.75,53.97,121.97
tagajo,JP,1586627788,41.29,68,42,4.54,38.29,141.01
pimentel,PE,1586627788,66.2,29,97,19.46,-6.84,-79.93
high prairie,CA,1586627339,23.13,86,42,10.4,55.43,-116.49
murray bridge,AU,1586627789,54.0,72,37,1.01,-35.12,139.27
porto novo,BJ,1586627789,86.0,74,40,10.29,6.5,2.6
poum,NC,1586627298,77.81,72,37,10.31,-20.23,164.02
susanville,US,1586627789,61.0,36,1,8.05,40.42,-120.65
sao joao da barra,BR,1586627304,78.8,69,75,9.17,-21.64,-41.05
nampula,MZ,1586627790,68.38,86,51,5.12,-15.12,39.27
scarborough,GB,1586627790,69.01,56,39,11.41,54.28,-0.4
shiyan,CN,1586627791,49.17,45,0,3.4,32.65,110.78
pemangkat,ID,1586627791,77.58,87,60,6.31,1.17,108.97
kutum,SD,1586627352,77.23,12,57,12.21,14.2,24.67
gardez,AF,1586627792,53.51,36,100,2.01,33.6,69.23
santa vitoria do palmar,BR,1586627792,70.59,55,25,6.26,-33.52,-53.37
sokna,NO,1586627793,42.01,93,75,13.87,60.24,9.92
rawson,AR,1586627359,63.81,29,3,16.6,-43.3,-65.1
henties bay,NA,1586627354,72.64,58,0,10.33,-22.12,14.28
barddhaman,IN,1586627793,78.96,69,3,11.03,23.25,87.85
balotra,IN,1586627794,90.97,17,9,8.01,25.83,72.23
kavaratti,IN,1586627311,85.01,68,1,4.03,10.57,72.64
katsuura,JP,1586627314,50.0,93,75,2.24,35.13,140.3
kankon,IN,1586627795,78.85,87,0,3.91,15.02,74.02
ciomas,ID,1586627795,68.68,81,42,1.83,-7.15,108.29
amparafaravola,MG,1586627795,64.62,71,4,7.27,-17.58,48.22
darnah,LY,1586627796,60.93,67,0,16.42,32.77,22.64
benguela,AO,1586627796,79.75,80,18,3.42,-12.58,13.41
samarai,PG,1586627796,78.13,71,84,3.33,-10.62,150.67
mahon,ES,1586627797,62.6,63,2,6.93,39.89,4.27
padang,ID,1586627128,79.81,73,100,4.23,-0.95,100.35
nikolskoye,RU,1586627307,37.4,74,40,11.18,59.7,30.79
qasigiannguit,GL,1586627798,37.4,59,75,6.93,68.82,-51.19
kaitangata,NZ,1586627299,50.0,92,87,3.0,-46.28,169.85
geraldton,AU,1586627302,72.0,94,29,4.7,-28.77,114.6
san quintin,MX,1586627799,61.88,64,32,13.71,30.48,-115.95
port hardy,CA,1586627314,46.4,81,40,4.7,50.7,-127.42
beloha,MG,1586627799,73.08,81,88,16.22,-25.17,45.05
sudak,UA,1586627800,47.55,53,61,3.44,44.85,34.97
crystal beach,CA,1586627800,45.0,55,75,19.46,42.87,-79.06
acarau,BR,1586627800,84.27,77,100,7.58,-2.89,-40.12
luwingu,ZM,1586627801,63.27,63,61,4.18,-10.26,29.93
ust-uda,RU,1586627801,34.66,80,100,7.14,54.17,103.03
labuhan,ID,1586627315,78.33,82,89,2.53,-6.88,112.21
natitingou,BJ,1586627802,90.77,27,74,3.78,10.3,1.38
luau,AO,1586627802,67.86,69,79,3.29,-10.71,22.22
beyneu,KZ,1586627802,54.27,45,44,5.26,45.32,55.2
lahaina,US,1586627046,73.0,83,20,5.82,20.88,-156.68
atasu,KZ,1586627721,42.55,51,93,10.47,48.68,71.64
ukiah,US,1586627803,60.01,81,90,3.36,39.15,-123.21
mafeteng,LS,1586627804,61.02,34,59,6.69,-29.82,27.24
gewane,ET,1586627804,89.91,30,37,7.31,10.17,40.65
mogadishu,SO,1586627331,84.61,70,24,14.29,2.04,45.34
georgiyevka,KZ,1586627805,55.4,71,40,6.71,43.04,74.71
strezhevoy,RU,1586627805,39.2,97,100,4.47,60.73,77.59
buala,SB,1586627806,80.76,82,100,7.49,-8.14,159.59
clyde river,CA,1586627331,6.8,84,75,12.75,70.47,-68.59
high level,CA,1586627355,24.8,45,75,10.29,58.52,-117.14
thaba-tseka,LS,1586627806,52.48,34,42,7.56,-29.52,28.61
parana,AR,1586627713,81.0,31,0,8.01,-31.73,-60.52
mehamn,NO,1586627307,22.8,89,92,1.7,71.04,27.85
tura,IN,1586627807,74.68,37,17,3.18,25.52,90.22
antigonish,CA,1586627552,45.0,52,75,20.8,45.62,-62.0
pundaguitan,PH,1586627808,80.6,81,4,14.16,6.37,126.17
alexandria,EG,1586627672,62.6,72,0,8.05,31.22,29.96
marang,MY,1586627809,82.4,83,20,3.36,5.21,103.21
madang,PG,1586627809,78.04,83,91,4.32,-5.22,145.8
chapais,CA,1586627809,30.2,58,90,12.75,49.78,-74.85
lasa,IT,1586627810,75.2,37,42,2.24,46.62,10.7
zyryanovsk,KZ,1586627810,33.01,68,0,3.96,49.74,84.27
buchanan,LR,1586627810,83.19,74,71,7.67,5.88,-10.05
northam,GB,1586627811,71.01,66,58,5.01,51.03,-4.22
jackson,US,1586627798,63.0,62,1,3.36,42.42,-122.83
la palma,US,1586627811,64.99,67,75,3.36,33.85,-118.05
airai,TL,1586627335,60.96,72,49,1.48,-8.93,125.41
luderitz,NA,1586627300,73.4,49,0,9.17,-26.65,15.16
araouane,ML,1586627812,97.92,8,0,4.94,18.9,-3.53
benjamin constant,BR,1586627813,84.2,78,75,3.36,-4.38,-70.03
bandarbeyla,SO,1586627315,81.63,72,2,12.88,9.49,50.81
tefe,BR,1586627813,86.0,84,20,2.64,-3.35,-64.71
flic en flac,MU,1586627814,78.01,73,75,13.87,-20.27,57.36
dakar,SN,1586627735,87.8,74,0,9.17,14.69,-17.44
coihaique,CL,1586627347,53.6,46,40,5.82,-45.58,-72.07
havre-saint-pierre,CA,1586627815,39.2,48,75,12.75,50.23,-63.6
lompoc,US,1586627328,66.0,72,40,8.05,34.64,-120.46
vila franca do campo,PT,1586627355,62.6,63,20,18.34,37.72,-25.43
port blair,IN,1586627816,82.76,71,67,6.69,11.67,92.75
neiafu,TO,1586627816,66.2,100,20,9.44,-18.65,-173.98
aljustrel,PT,1586627816,62.6,82,75,10.29,37.88,-8.17
chauk,MM,1586627817,81.39,47,47,4.52,20.88,94.82
mitchell,US,1586627651,53.6,37,40,10.29,43.71,-98.03
sapa,PH,1586627818,82.83,68,0,3.02,5.15,120.32
nova floresta,BR,1586627818,82.87,52,37,10.85,-6.46,-36.2
marsh harbour,BS,1586627323,73.62,70,95,12.93,26.54,-77.06
asmar,AF,1586627819,65.19,27,95,7.09,35.03,71.36
goundi,TD,1586627819,85.98,42,96,6.4,9.36,17.37
port augusta,AU,1586627819,57.2,67,54,9.17,-32.5,137.77
forest grove,US,1586627820,55.0,62,75,1.43,45.52,-123.11
atambua,ID,1586627312,72.88,80,30,3.13,-9.11,124.89
kyra,RU,1586627820,39.74,40,0,3.71,49.58,111.98
ugoofaaru,MV,1586627777,85.32,68,11,5.48,5.67,73.0
ust-koksa,RU,1586627821,30.63,56,3,4.41,50.27,85.61
arua,UG,1586627821,73.51,44,100,3.36,3.02,30.91
gravdal,NO,1586627821,35.4,80,100,9.66,68.12,13.5
faanui,PF,1586627342,82.94,73,100,9.4,-16.48,-151.75
puksoozero,RU,1586627822,26.53,94,96,2.24,62.59,40.61
tambopata,PE,1586627823,90.12,32,26,2.33,-12.73,-69.18
garowe,SO,1586627823,80.96,48,1,18.48,8.41,48.48
caxias,PT,1586627823,64.4,68,20,10.29,38.7,-9.28
rajanpur,PK,1586627824,88.34,24,97,4.07,29.1,70.33
codrington,AU,1586627338,51.37,73,64,11.7,-38.27,141.97
banjar,ID,1586627825,82.4,88,40,1.12,-8.19,114.97
saint-pierre,RE,1586627081,77.0,83,43,5.82,-21.34,55.48
corrente,BR,1586627825,85.39,77,32,2.57,-3.74,-43.34
vostok,RU,1586627826,23.25,92,0,3.31,46.49,135.88
mareeba,AU,1586627826,75.2,94,90,1.54,-17.0,145.43
pandamatenga,BW,1586627357,67.44,55,41,3.85,-18.53,25.63
kismayo,SO,1586627826,84.52,73,94,10.71,-0.36,42.55
arlit,NE,1586627827,93.18,9,74,6.17,18.74,7.39
namatanai,PG,1586627345,81.73,75,84,4.18,-3.67,152.43
kourou,GF,1586627827,86.0,62,75,13.87,5.16,-52.65
banda aceh,ID,1586627636,80.08,82,40,6.51,5.56,95.32
williams lake,CA,1586627828,28.4,42,20,17.22,52.14,-122.14
xinzhi,CN,1586627828,49.15,34,0,5.5,36.5,111.7
kadyy,RU,1586627829,32.31,86,100,7.58,57.79,43.19
imperia,IT,1586627829,68.0,67,0,13.87,43.97,7.78
canutama,BR,1586627773,92.28,52,67,1.01,-6.53,-64.38
kiunga,PG,1586627830,73.99,97,99,0.36,-6.12,141.29
north bend,US,1586627830,55.0,81,90,9.17,43.41,-124.22
camana,PE,1586627830,75.34,70,81,9.26,-16.62,-72.71
birao,CF,1586627831,88.86,11,49,5.99,10.28,22.79
ivdel,RU,1586627831,35.85,90,100,3.09,60.69,60.42
blairmore,CA,1586627831,28.4,67,90,14.03,49.6,-114.44
gizo,SB,1586627832,81.68,79,97,6.55,-8.1,156.84
silver city,US,1586627832,62.01,22,1,11.41,32.77,-108.28
khandbari,NP,1586627832,66.02,26,71,6.29,27.37,87.2
yinchuan,CN,1586627833,44.01,12,0,5.01,38.47,106.27
pervomayskoye,RU,1586627833,49.78,66,27,5.57,43.92,46.71
fortuna,US,1586627313,57.0,93,90,9.17,40.6,-124.16
cotacachi,EC,1586627834,66.2,72,75,5.82,0.3,-78.27
biltine,TD,1586627834,87.62,11,63,12.48,14.53,20.92
carnot,CF,1586627834,71.04,76,99,3.18,4.94,15.87
kahului,US,1586627310,73.0,83,20,5.82,20.89,-156.47
porto santo,PT,1586627835,64.4,72,40,16.11,33.07,-16.34
paita,PE,1586627835,62.6,100,98,9.17,-5.09,-81.11
alice springs,AU,1586627139,57.2,22,44,6.93,-23.7,133.88
leirvik,NO,1586627837,46.0,100,100,13.87,59.78,5.5
horsham,GB,1586627837,75.0,35,26,8.05,51.06,-0.33
sioux lookout,CA,1586627348,32.0,76,90,13.87,50.1,-91.92
abha,SA,1586627838,66.2,82,20,8.05,18.22,42.51
makakilo city,US,1586627343,75.2,94,75,3.36,21.35,-158.09
jiuquan,CN,1586627839,43.39,24,37,2.1,39.74,98.52
arica,CL,1586627839,75.2,64,75,11.41,-18.48,-70.3
caravelas,BR,1586627839,81.86,78,45,12.33,-17.71,-39.25
hohhot,CN,1586627739,32.0,34,0,4.47,40.81,111.65
grand-santi,GF,1586627840,88.81,51,73,5.23,4.25,-54.38
rorvik,NO,1586627840,37.65,77,100,11.39,64.86,11.24
watrous,CA,1586627340,21.43,83,23,16.82,51.67,-105.47
takaka,NZ,1586627841,59.0,90,91,3.0,-40.85,172.8
